id,lon,lat,label,inside_oil_polygon,oil_region
408509,11.7006464071852,57.675524333138206,unknown,false,Europe
426588,7.8379751377591305,55.478703194351908,wind,false,Europe
438144,11.205417840883001,56.586773837656509,wind,false,Europe
442001,12.7115208702865,55.536418113199,wind,false,Europe
449581,-0.343242764443277,50.688123126868106,wind,false,Europe
450143,1.50271187116637,51.673403175112909,wind,false,Europe
19367,1.8876133179897596,51.9116504155264,wind,false,Europe
42839,1.9493910961955103,51.791466374585205,wind,false,Europe
49916,11.546920583375202,54.538161069718306,wind,false,Europe
51107,19.1260796604194,59.1550349386143,unknown,false,Europe
70682,-0.257777734168129,50.6858458542759,wind,false,Europe
99442,1.94164327148944,51.8904640014989,wind,false,Europe
103811,2.02553394470804,51.9353667653857,wind,false,Europe
132155,11.3141527332783,56.577249596145506,wind,false,Europe
145141,-3.6898492159634797,54.7645125021493,wind,false,Europe
146774,1.60974498625082,51.41895924715309,wind,false,Europe
152235,2.7443678301609307,51.6906094343481,wind,false,Europe
156139,11.190623941678702,56.6496762368769,wind,false,Europe
172312,12.793046770265802,55.521194462370609,wind,false,Europe
182502,2.89766011049259,51.697088490215009,wind,false,Europe
184273,12.8100363256025,55.5200225535247,wind,false,Europe
190147,11.6936962147793,54.5495516829797,wind,false,Europe
199446,-2.48002392063297,49.4872008553406,unknown,false,Europe
208732,7.59754348295174,55.5659365772683,wind,false,Europe
208739,13.113401681645799,54.96612006413,wind,false,Europe
221234,7.5719087420602822,55.6973825991558,wind,false,Europe
239368,11.280464007680498,56.594003730599709,wind,false,Europe
271554,13.0040422395078,55.0330705140807,wind,false,Europe
275448,1.9852887282561904,51.7894591631268,wind,false,Europe
278689,5.9394536800564106,54.318190345437507,wind,false,Europe
292971,1.50067328776965,51.6984093985096,wind,false,Europe
323814,-3.72151496979138,54.740871849499,wind,false,Europe
328125,1.61489484266723,51.4335254375282,wind,false,Europe
341201,7.5463480485158705,55.5809415054866,wind,false,Europe
344956,13.121580519894298,54.973412159877,wind,false,Europe
454172,0.517460533491808,53.1800970878267,wind,false,Europe
489224,1.64346775085923,51.4408811492564,wind,false,Europe
495437,1.4317301344213298,51.6402736928646,wind,false,Europe
498219,2.83384641255043,51.6823298856656,wind,false,Europe
506264,-6.29503581459094,53.975956647429705,unknown,false,Europe
506378,1.4624682445503203,51.5998628523425,wind,false,Europe
515397,0.432763196522894,53.1743625569569,wind,false,Europe
518541,11.1869745938844,56.5414235982758,wind,false,Europe
321627,2.8830194746493696,51.619683584484292,wind,true,Europe
107824,4.026796021971931,52.2679656568329,probable_wind,true,Europe
218476,1.1343725590354603,53.1295661211581,wind,true,Europe
62484,2.21363126782833,53.0039695221817,oil,true,Europe
358973,0.82815306401319588,53.5124048651829,wind,true,Europe
312608,5.90987027759277,54.3114485105098,wind,true,Europe
152795,3.0372837737803806,51.6464910347738,wind,true,Europe
139266,2.9475397219229,51.6395997233264,wind,true,Europe
163686,4.1991972534988093,53.537884134518,oil,true,Europe
211353,-2.8653169292672791,58.243382750390495,wind,true,Europe
429832,5.8289702460902406,54.341636440677206,wind,true,Europe
191213,5.7675349267248,54.293425167456896,wind,true,Europe
72857,6.99741124521741,53.9884554942903,wind,true,Europe
237153,6.5091431602244185,54.0887709744288,wind,true,Europe
477654,6.4795691593116187,53.6930718416577,wind,true,Europe
216277,0.77156901011126688,53.4835411812202,wind,true,Europe
484286,1.15101418389775,53.1562634842652,wind,true,Europe
143068,0.92743059245270709,53.469890789248794,wind,true,Europe
19990,-3.45864365473349,53.41212114000669,wind,true,Europe
537265,7.01579745317432,54.0861958110277,wind,true,Europe
190694,6.4637792901035693,53.9470871685544,wind,true,Europe
200610,7.015682948950249,54.008117455907595,wind,true,Europe
472756,-3.6176084100154693,54.105264767651,wind,true,Europe
482647,-3.6685518133239396,54.0364738789089,wind,true,Europe
265583,4.17943682741701,56.178356139692909,oil,true,Europe
154350,-3.18503542902084,53.47479519798231,wind,true,Europe
206550,0.90710927929221519,53.2510891615881,wind,true,Europe
216808,3.0336128647643994,51.78678995117329,wind,true,Europe
538463,4.24612095270664,52.586910773781291,wind,true,Europe
98342,2.04945846871792,53.888308530090306,wind,true,Europe
172828,6.4914113430853488,53.933213410241308,wind,true,Europe
173339,6.5810872368979307,53.928993170920108,wind,true,Europe
231778,4.21095519669931,52.594449174448393,wind,true,Europe
437619,7.01633226718518,54.0740573437619,wind,true,Europe
451282,-1.10359651574306,54.649529077455895,wind,true,Europe
507461,14.0953059930399,54.772563893075,wind,true,Europe
73993,3.05459313100504,51.6389868951613,wind,true,Europe
177587,4.9080140701404993,55.5307949190495,oil,true,Europe
65200,2.91346961843054,51.5986265952056,wind,true,Europe
69094,-3.57527716396899,54.018051623211896,wind,true,Europe
481543,2.5287821567654696,52.265061840319,wind,true,Europe
400941,12.630022884672098,54.59478247798171,wind,true,Europe
229549,2.80018767826152,51.6551704581723,wind,true,Europe
237804,0.85438222161494815,53.2349446582432,wind,true,Europe
96216,7.7039150014066307,54.517247582594692,wind,true,Europe
97880,7.7399022624623388,54.3866700920976,wind,true,Europe
510329,4.1492175608429207,52.4080555682932,wind,true,Europe
341244,-2.9777347589017,58.2218642832142,wind,true,Europe
234019,5.95622096213084,54.371057294866304,wind,true,Europe
119118,4.2355305623299211,53.4317933098539,oil,true,Europe
184658,6.57133203664888,53.9607280781419,wind,true,Europe
40581,-1.08828722825538,54.648986399543304,wind,true,Europe
524635,-3.6269387431508195,53.4624257454148,wind,true,Europe
118036,6.57132981107107,53.9742293380459,wind,true,Europe
337968,2.98692686574004,51.550236567683008,wind,true,Europe
56058,-3.577589328434839,54.0658775009553,wind,true,Europe
515393,0.11205600600215998,53.8109806537121,wind,true,Europe
120729,2.84010108132934,51.6692094632552,wind,true,Europe
227791,6.5285365132714812,54.0516488414336,wind,true,Europe
495986,8.36799658529119,53.6653167653747,unknown,true,Europe
95098,2.1457859173986193,53.8914835486544,wind,true,Europe
104956,-3.4147391598340104,54.080602938998595,wind,true,Europe
274975,1.75044717106197,53.9693650970182,wind,true,Europe
281501,2.98146583378759,51.6032631553249,wind,true,Europe
171782,7.2409750204968386,55.0627416023525,probable_wind,true,Europe
171852,2.12847335020609,53.8257594337258,wind,true,Europe
224476,-3.30540147685036,53.464577535835005,wind,true,Europe
419865,1.7389250402014,54.477902458419,oil,true,Europe
